
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus                    Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

263391472                 7.114     0.9881          0          0         0         0
260981165                 6.949     0.9652          0          0         0         0
620861437                 6.972     0.9684          0          0         0         0
263391571                 6.922     0.9615          0          0         0         0
260662961                 6.922     0.9615          0          0         0         0
261184167                 6.881     0.9558          0          0         0         0
261433677                 7.122     0.9892          0          0         0         0
258406013                 7.121     0.9891    0.05382     0.7557    0.1113     1.563
263391454                  7.12      0.989          0          0         0         0
259217100                 6.951     0.9655          0          0         0         0
263709233                 6.951     0.9655          0          0         0         0
261052101                 7.067     0.9816          0          0         0         0
260662891                 7.178      0.997          0          0         0         0
259374992                 6.974     0.9687          0          0         0         0
261140529                 6.974     0.9686          0          0         0         0
261052090                 7.065     0.9813          0          0         0         0
261052091                 7.065     0.9813          0          0         0         0
261052106                 7.066     0.9814          0          0         0         0
260662936                 7.192     0.9989          0          0         0         0
258406348                 7.191     0.9989          0          0         0         0
259529045                 7.175     0.9966          0          0         0         0
259529050                 7.175     0.9966          0          0         0         0
258425092                 6.996     0.9717     0.0547     0.7818    0.1397     1.997
258425097                 6.996     0.9717    0.05462     0.7808    0.1397     1.997
258406465                 7.053     0.9797    0.05364     0.7606    0.1389     1.969
384399848                 7.053     0.9797    0.05364     0.7605    0.1389     1.969
258425010                 6.906     0.9592          0          0         0         0
258425015                 6.906     0.9592          0          0         0         0
258425080                 6.996     0.9718    0.05485      0.784    0.1398     1.998
258406113                 7.179     0.9971          0          0         0         0
258406118                 7.179     0.9971          0          0         0         0
258406193                 7.042     0.9781          0          0         0         0
258406198                 7.041      0.978          0          0         0         0
258425020                 6.906     0.9592          0          0         0         0
258406188                 7.042     0.9781          0          0         0         0
258406108                 7.179     0.9971          0          0         0         0
258425075                 6.996     0.9717    0.05516     0.7884    0.1388     1.985
620861398                 7.107     0.9872          0          0         0         0
258406033                 7.117     0.9886    0.05497     0.7723    0.1036     1.455
263391400                 7.187     0.9982          0          0         0         0
258425192                  7.05     0.9792    0.05384     0.7636    0.1396     1.979
258425197                  7.05     0.9792    0.05384     0.7636    0.1396     1.979
258425112                 6.972     0.9684          0          0         0         0
258425117                 6.972     0.9684          0          0         0         0
258425102                 6.973     0.9685          0          0         0         0
258425393                  6.97     0.9682          0          0         0         0
263395273                  6.97     0.9682          0          0         0         0
258425427                  6.97     0.9681          0          0         0         0
263391391                 7.125     0.9896    0.05381     0.7553    0.1099     1.542
258406018                 7.124     0.9895    0.05393      0.757    0.1092     1.534
263395435                 6.939     0.9638          0          0         0         0
258425902                 6.939     0.9638          0          0         0         0
258425640                 7.227      1.004    0.05859     0.8108   0.08632     1.194
263395381                 7.266      1.009          0          0         0         0
258405593                 7.436      1.033    0.03069     0.4127   0.01862    0.2504
290683468                 7.431      1.032    0.03113     0.4189   0.02016    0.2713
258425892                 7.071     0.9821    0.09319      1.318    0.1249     1.767
258425635                 7.236      1.005    0.05657     0.7818   0.08405     1.161
263395372                 7.156      0.994          0          0         0         0
263395255                 7.039     0.9777    0.04947     0.7027    0.1488     2.113
258425316                 7.039     0.9777    0.04946     0.7027    0.1488     2.113
258425645                 7.156     0.9939          0          0         0         0
258425306                 7.039     0.9777    0.04947     0.7027    0.1488     2.113
258425443                 6.974     0.9687          0          0         0         0
263866165                 6.974     0.9687          0          0         0         0
258425772                 7.125     0.9897    0.08379      1.176    0.1095     1.537
258425776                 7.121     0.9891    0.08435      1.184     0.111     1.559
263733246                  7.04     0.9779          0          0         0         0
258406223                  7.04     0.9778          0          0         0         0
258424969                 7.002     0.9726    0.05622     0.8029    0.1445     2.064
258424974                 7.002     0.9726    0.05624     0.8032    0.1446     2.065
258425872                 7.106      0.987          0          0         0         0
258425877                 7.106     0.9869          0          0         0         0
258443861                 6.921     0.9613          0          0         0         0
258443865                 6.917     0.9608          0          0         0         0
258405784                 7.275       1.01    0.04813     0.6616   0.07603     1.045
263395354                  7.21      1.001          0          0         0         0
263755757                  7.04     0.9779    0.05045     0.7166    0.1486      2.11
258425294                  7.04     0.9778    0.04968     0.7058    0.1487     2.112
263733237                 7.154     0.9936          0          0         0         0
258405853                 7.154     0.9936          0          0         0         0
258425871                 7.106      0.987          0          0         0         0
263395408                 7.117     0.9885          0          0         0         0
258425832                 7.117     0.9885          0          0         0         0
258425588                  7.21      1.001          0          0         0         0
258406178                 7.119     0.9888    0.05381      0.756     0.112     1.574
258424981                 7.002     0.9726    0.05628     0.8038    0.1448     2.068
258425852                 7.079     0.9832      0.092        1.3    0.1249     1.764
263395417                  7.11     0.9876          0          0         0         0
426195270                 6.996     0.9718          0          0         0         0
259316804                 6.996     0.9718          0          0         0         0
263733345                 6.946     0.9647          0          0         0         0
258443781                 6.942     0.9642          0          0         0         0
263395228                  7.05     0.9793    0.05383     0.7636    0.1395     1.979
263998651                 6.948      0.965          0          0         0         0
259552831                 6.947      0.965          0          0         0         0
258425254                 7.044     0.9784    0.05141     0.7299    0.1454     2.065
263395237                 6.961     0.9669          0          0         0         0
258425972                 7.021     0.9752     0.1002      1.428    0.1264     1.801
258425977                  7.02     0.9751     0.1003      1.428    0.1264     1.801
258443774                 7.082     0.9836    0.09188      1.297    0.1287     1.817
258424954                 7.003     0.9727     0.0562     0.8026    0.1445     2.064
258424959                 7.002     0.9726    0.05618     0.8022    0.1444     2.062
258424939                 7.003     0.9727    0.05622     0.8027    0.1446     2.065
263395336                 7.049     0.9791          0          0         0         0
258425558                 7.049      0.979          0          0         0         0
258425857                 7.077      0.983    0.09222      1.303    0.1249     1.765
258425827                  7.08     0.9834    0.09176      1.296    0.1249     1.764
258405801                 7.253      1.007    0.04877     0.6724   0.08193      1.13
263733228                 7.186     0.9981          0          0         0         0
258425478                 6.964     0.9673          0          0         0         0
263395300                 6.964     0.9673          0          0         0         0
258406003                 7.049     0.9791          0          0         0         0
258425473                 6.965     0.9674          0          0         0         0
258425477                 6.964     0.9673          0          0         0         0
263395291                 6.967     0.9676          0          0         0         0
259471071                 7.204      1.001          0          0         0         0
259471076                 7.204      1.001          0          0         0         0
258425942                 7.052     0.9796    0.09626      1.365    0.1257     1.783
258424934                 7.004     0.9728    0.05626     0.8033    0.1449     2.069
615922930                 6.923     0.9616          0          0         0         0
615922967                 6.923     0.9616          0          0         0         0
263733291                 6.982     0.9698          0          0         0         0
263733318                 7.257      1.008          0          0         0         0
258444066                 7.257      1.008          0          0         0         0
615922924                 6.922     0.9615          0          0         0         0
258425946                 7.029     0.9763     0.0994      1.414    0.1263     1.797
258425952                 7.046     0.9787          0          0         0         0
258424929                 7.005      0.973    0.05632      0.804    0.1452     2.073
258443639                 7.079     0.9833          0          0         0         0
263399274                 7.079     0.9833          0          0         0         0
258425730                 7.162     0.9948    0.07585      1.059   0.09919     1.385
263733327                 7.193      0.999          0          0         0         0
258425837                 7.116     0.9884          0          0         0         0
263395309                 6.958     0.9665          0          0         0         0
258425518                 6.958     0.9664          0          0         0         0
263395390                 7.138     0.9914    0.08203      1.149    0.1047     1.467
258425760                 7.138     0.9914    0.08206       1.15    0.1047     1.467
258406580                  7.02      0.975     0.0564     0.8034    0.1456     2.075
258443654                 7.079     0.9833          0          0         0         0
263733282                 7.124     0.9895          0          0         0         0
258425503                 6.958     0.9665          0          0         0         0
263395318                 6.958     0.9665          0          0         0         0
258424949                 7.124     0.9895          0          0         0         0
258405873                 7.209      1.001    0.05078     0.7044   0.09183     1.274
258405878                 7.205      1.001    0.05093     0.7069   0.09265     1.286
258426034                 7.018     0.9747        0.1      1.425    0.1248     1.779
620695968                 7.031     0.9767          0          0         0         0
258443664                 7.078     0.9832          0          0         0         0
258443669                 7.078     0.9831          0          0         0         0
259596203                 7.247      1.007    0.04565     0.6299   0.07311     1.009
259596204                 7.247      1.007    0.04568     0.6302   0.07315     1.009
258405868                 7.213      1.002    0.05062     0.7018   0.09101     1.262
258425932                 7.062     0.9809     0.0946       1.34    0.1252     1.773
258425937                 7.059     0.9804    0.09527       1.35    0.1254     1.776
259577434                 7.119     0.9888    0.05446      0.765    0.1064     1.494
258444093                 7.271       1.01    0.04749     0.6532   0.07566     1.041
263399373                 7.293      1.013          0          0         0         0
263399256                 6.883     0.9561          0          0         0         0
258443719                 6.883     0.9561          0          0         0         0
258444103                 7.292      1.013          0          0         0         0
