[GENERAL]
DATE=March 18, 2015 at 10:28:30
CYME_VERSION=5.04
CYMDIST_REVISION=02

[SI]

[NODE]
FORMAT_NODE=NodeID,CoordX,CoordY,TagText,TagProperties,TagDeltaX,TagDeltaY,TagAngle,TagAlignment,TagBorder,TagBackground,TagTextColor,TagBorderColor,TagBackgroundColor,TagLocation,TagFont,TagTextSize,TagOffset,ZoneID,ConnectedEquipType,ExposedCircuitType,BusGap,WorkingDistance,UseUserDefinedFaultCurrent,UserDefinedFaultCurrent,OpeningTimeMode,UserDefinedOpeningTime,OverrideLFVoltageLimit,HighVoltageLimit,LowVoltageLimit,LoadSheddingActive,MaximumLoadShed,ShedLoadCost,UserDefinedBaseVoltage
26259143,2340588.438707,12997522.729699,G3E_FID: 2888481#$%# G3E_FNO: 297#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
GT28BK_103013451,2341252.668657,12996647.135103,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
27145133,2341016.568000,12997222.440000,G3E_FID: 2891004#$%# G3E_FNO: 297#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
26512065,2340759.508000,12997726.730000,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
26424752,2340761.417742,12997745.265193,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
27145219,2340761.342000,12997728.768000,G3E_FID: 2892037#$%# G3E_FNO: 297#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
26449575,2341025.999000,12997249.261000,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
1823870,2342590.666426,12995266.184858,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
27145217,2340761.189000,12997736.268000,G3E_FID: 2892035#$%# G3E_FNO: 297#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
103013265,2340763.624718,12997832.072055,G3E_FID: 103033345#$%# G3E_FNO: 297#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
26259236,2341220.051551,12997482.575070,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
103013366,2340738.966522,12997848.734059,G3E_FID: 103033616#$%# G3E_FNO: 244#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
26172321,2341185.483756,12996336.175655,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
103013365,2340739.782108,12997844.143581,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
103013242,2340763.411621,12997844.070162,G3E_FID: 103033348#$%# G3E_FNO: 297#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
103013368,2340745.094587,12997840.171500,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
103013240,2340747.566956,12997835.178695,G3E_FID: 103033346#$%# G3E_FNO: 297#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
103013369,2340749.082608,12997848.899897,G3E_FID: 103033621#$%# G3E_FNO: 244#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
103013241,2340747.496064,12997839.143007,G3E_FID: 103033347#$%# G3E_FNO: 297#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
25113875,2341997.693475,12996154.322278,G3E_FID: 2842711#$%# G3E_FNO: 304#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
25431432,2342206.502592,12995818.201271,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
26424528,2341026.486873,12997244.443282,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
27145130,2341019.010739,12997224.212947,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
103013321,2340725.361597,12997843.651093,G3E_FID: 103033499#$%# G3E_FNO: 297#@@##@@##@@#,0,0.000000,0.000000,0.000000,0,0,0,-1,-1,-1,0,Arial,1.000000,0.330000,,,,,,,,,,,,,,,,0.000000
