
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus                Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

27136937                4.4     0.3332        4.4        100      4.84       110
27136940                4.4     0.3332        4.4        100      4.84       110
26999274              4.405     0.3336      4.405        100     4.845       110
26999386              4.405     0.3336      4.405        100     4.845       110
26999326              4.386     0.3321      4.386        100     4.824       110
26999323              4.532     0.3432      4.532        100     4.532       100
27136603              4.401     0.3333      4.401        100     4.841       110
27137086              4.394     0.3328      4.394        100     4.833       110
27137071              4.394     0.3328      4.394        100     4.833       110
27000118              4.379     0.3316      4.379        100     4.817       110
27000115              4.379     0.3316      4.379        100     4.817       110
27136884              4.394     0.3328      4.394        100     4.834       110
27136886              4.394     0.3328      4.394        100     4.834       110
26999362              4.406     0.3337      4.406        100     4.847       110
26999819              4.406     0.3337      4.406        100     4.847       110
103041529             4.395     0.3329      4.395        100     4.835       110
103121510             13.66      1.034          0          0         0         0
26999457              4.391     0.3325      4.391        100      4.83       110
27136840              4.391     0.3325      4.391        100      4.83       110
103125256             4.395     0.3328      4.395        100     4.834       110
26999874              4.378     0.3315      4.378        100     4.816       110
26999851              4.378     0.3315      4.378        100     4.815       110
26835312              13.63      1.032     0.2044      1.499    0.2052     1.505
26835326              13.62      1.032     0.2065      1.516     0.207     1.519
26999403              13.61      1.031     0.2214      1.626    0.2373     1.744
27136719              13.61      1.031     0.2214      1.627    0.2373     1.743
26999839              4.379     0.3317      4.379        100     4.817       110
26999842              4.379     0.3317      4.379        100     4.817       110
103536832             4.401     0.3333      4.401        100     4.841       110
103536829             4.401     0.3333      4.401        100     4.841       110
103626589             4.386     0.3322      4.386        100     4.825       110
103626611             4.386     0.3322      4.386        100     4.825       110
1140296               13.61      1.031     0.2174      1.597    0.2292     1.684
26999155              4.538     0.3437      4.538        100     4.538       100
25667563              13.61      1.031     0.2174      1.597    0.2292     1.684
26999154              4.391     0.3326      4.391        100     4.831       110
103631268             4.362     0.3303      4.362        100     4.798       110
103631267             4.362     0.3303      4.362        100     4.798       110
27136692              4.403     0.3335      4.403        100     4.843       110
27136695              4.403     0.3334      4.403        100     4.843       110
26999473              4.391     0.3325      4.391        100      4.83       110
26999445              4.391     0.3325      4.391        100      4.83       110
103383291             4.387     0.3322      4.387        100     4.825       110
103383293             4.387     0.3322      4.387        100     4.825       110
25734578              4.389     0.3324      4.389        100     4.827       110
27136652              4.389     0.3324      4.389        100     4.827       110
27136943                4.4     0.3332        4.4        100      4.84       110
27136938                4.4     0.3332        4.4        100      4.84       110
103413073             4.404     0.3335      4.404        100     4.845       110
103645573               4.4     0.3332        4.4        100      4.84       110
25733700              13.64      1.033     0.2152      1.578    0.2338     1.714
103125605             4.406     0.3337      4.406        100     4.846       110
26331050              13.64      1.033     0.2145      1.573    0.2326     1.706
26331049              13.64      1.033     0.2146      1.573    0.2325     1.705
25783321              13.61      1.031     0.2276      1.673     0.257     1.889
26999847              4.409     0.3339      4.409        100     4.849       110
26999498               4.36     0.3302       4.36        100     4.796       110
26999496               4.36     0.3302       4.36        100     4.796       110
103089666             13.62      1.032     0.2068      1.518    0.2085     1.531
103025150             4.401     0.3333      4.401        100     4.841       110
26999198                4.4     0.3332        4.4        100     4.839       110
26999179              4.399     0.3332      4.399        100     4.839       110
27136832              4.393     0.3327      4.393        100     4.833       110
27136835              4.393     0.3327      4.393        100     4.832       110
103307200             4.396     0.3329      4.396        100     4.836       110
26999256              4.387     0.3322      4.387        100     4.825       110
26999258              4.384      0.332      4.384        100     4.822       110
27136931                4.4     0.3332        4.4        100      4.84       110
27136934                4.4     0.3332        4.4        100      4.84       110
27136572              4.401     0.3333      4.401        100     4.841       110
27136566                4.4     0.3333        4.4        100      4.84       110
103265159             4.387     0.3322      4.387        100     4.826       110
103265158             4.387     0.3322      4.387        100     4.826       110
26281697              4.393     0.3327      4.393        100     4.832       110
27136763              4.393     0.3327      4.393        100     4.832       110
27136670              4.385     0.3321      4.385        100     4.824       110
27136667              4.385     0.3321      4.385        100     4.824       110
103626613             4.386     0.3322      4.386        100     4.825       110
103626603             4.386     0.3322      4.386        100     4.825       110
25836857              13.63      1.032     0.2134      1.565    0.2302     1.688
27136861              4.404     0.3335      4.404        100     4.844       110
27137115              4.396     0.3329      4.396        100     4.836       110
103666875             4.406     0.3337      4.406        100     4.847       110
27000181              4.408     0.3339      4.408        100     4.849       110
27000183              4.408     0.3339      4.408        100     4.849       110
103048757             4.397      0.333      4.397        100     4.837       110
103032159             4.397      0.333      4.397        100     4.837       110
27136836              4.393     0.3327      4.393        100     4.832       110
27136839              4.539     0.3438      4.539        100     4.539       100
27136602              4.399     0.3332      4.399        100     4.839       110
27136583              4.399     0.3332      4.399        100     4.839       110
27136565                4.4     0.3333        4.4        100      4.84       110
27136569                4.4     0.3332        4.4        100      4.84       110
27136713              4.403     0.3334      4.403        100     4.843       110
27136710              4.403     0.3334      4.403        100     4.843       110
103649897                 0          0          0          0         0         0
t4795b23_10000054         0          0          0          0         0         0
26991520              4.406     0.3337      4.406        100     4.846       110
26991516              4.406     0.3336      4.406        100     4.846       110
26999159              4.385     0.3321      4.385        100     4.823       110
26999147              4.385     0.3321      4.385        100     4.823       110
26999347              4.366     0.3307      4.366        100     4.803       110
26999511              4.365     0.3306      4.365        100     4.802       110
103537191             4.395     0.3329      4.395        100     4.835       110
103537190             4.395     0.3329      4.395        100     4.835       110
27136655              4.388     0.3324      4.388        100     4.827       110
27136658              4.388     0.3324      4.388        100     4.827       110
103294687             4.396     0.3329      4.396        100     4.836       110
103294681             4.396     0.3329      4.396        100     4.836       110
103383280             4.387     0.3322      4.387        100     4.825       110
103383289             4.387     0.3322      4.387        100     4.825       110
27137277              4.375     0.3313      4.375        100     4.812       110
27137282              4.375     0.3313      4.375        100     4.812       110
27137104              4.393     0.3327      4.393        100     4.832       110
103042169             4.393     0.3327      4.393        100     4.832       110
103537196             4.395     0.3329      4.395        100     4.835       110
103537194             4.395     0.3329      4.395        100     4.835       110
103400443             4.395     0.3328      4.395        100     4.834       110
t4795b23_10000045     13.62      1.032          0          0         0         0
25876075              4.385     0.3321      4.385        100     4.823       110
27136792              4.385     0.3321      4.385        100     4.823       110
26999172              4.401     0.3333      4.401        100     4.841       110
26999170              4.401     0.3333      4.401        100     4.841       110
1105110               13.61      1.031     0.2213      1.626    0.2372     1.743
26999234              4.404     0.3335      4.404        100     4.844       110
26999167              4.402     0.3334      4.402        100     4.843       110
26999199              4.549     0.3445      4.549        100     4.549       100
26896048              13.63      1.032      0.213      1.562    0.2294     1.683
27137102              4.393     0.3327      4.393        100     4.832       110
26999146              4.385     0.3321      4.385        100     4.823       110
26999149              4.384     0.3321      4.384        100     4.823       110
27136897              4.393     0.3327      4.393        100     4.832       110
27136901              4.393     0.3327      4.393        100     4.832       110
25631626              13.61      1.031     0.2276      1.673     0.257     1.889
26999855              4.384      0.332      4.384        100     4.822       110
103359057             4.399     0.3332      4.399        100     4.839       110
103359448             4.399     0.3332      4.399        100     4.839       110
26999500               4.36     0.3302       4.36        100     4.796       110
26999497               4.36     0.3302       4.36        100     4.796       110
103121251             13.65      1.034          0          0         0         0
26999494               4.36     0.3302       4.36        100     4.796       110
26999499               4.36     0.3302       4.36        100     4.796       110
103091333             9.075     0.6873      4.689      51.67     4.386     48.33
t4795b23_10000042     9.075     0.6873      4.689      51.67     4.386     48.33
26999339              4.386     0.3322      4.386        100     4.825       110
26999332              4.386     0.3322      4.386        100     4.825       110
103476241             4.438     0.3361      4.438        100     4.647     104.7
26999485               4.36     0.3302       4.36        100     4.796       110
25783320              13.61      1.031     0.2273      1.671    0.2561     1.882
26854287              13.61      1.031     0.2275      1.671    0.2565     1.885
1105315               13.59       1.03          0          0         0         0
t4795b23_10000051     13.59       1.03          0          0         0         0
103119508             13.62      1.031     0.2087      1.533    0.2079     1.527
1141046               13.62      1.031     0.2089      1.534    0.2083     1.529
1141029               13.62      1.031     0.2093      1.537    0.2088     1.533
1141031               13.62      1.031     0.2096      1.539    0.2093     1.537
1140819               13.62      1.032          0          0         0         0
1140809               13.62      1.031          0          0         0         0
1104998               13.61      1.031     0.2252      1.655    0.2497     1.834
25426801              13.61      1.031     0.2253      1.655    0.2505      1.84
1140225               13.61      1.031     0.2178        1.6    0.2303     1.692
1140224               13.61      1.031     0.2181      1.602    0.2309     1.697
25173482              13.64      1.033     0.2147      1.574    0.2328     1.707
6mg73_2667352         13.64      1.033     0.2149      1.575    0.2331     1.709
