[GENERAL]
DATE=May 22, 2015 at 10:12:36
CYME_VERSION=5.04
CYMDIST_REVISION=03

[SI]

[CUSTOMER CLASS]
FORMAT_CUSTOMERCLASS=ID,Description,Color,ConstantPower,ConstantCurrent,ConstantImpedance,UtilizationFactor,PowerFactor,MeteredLoads,NonMeteredLoads,LoadFactor,FrequencySensitivityP,FrequencySensitivityQ,EnableHarmonic,IsExponentialModel,ConstantImpedanceZP,ConstantImpedanceZQ,ConstantCurrentIP,ConstantCurrentIQ,ConstantPowerPP,ConstantPowerPQ,ExponentialModelP,ExponentialModelQ,LoadFlowVoltagePercentOfNominal,AdjustmentSettings,PowerCurveModel,PowerCurveModelId
Commercial,,0,50.000000,0.000000,50.000000,100.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,80.000000,,,
Industrial,,0,50.000000,0.000000,50.000000,100.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,80.000000,,,
Other,,0,50.000000,0.000000,50.000000,100.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,80.000000,,,
PrimaryMeter,,0,50.000000,0.000000,50.000000,100.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,80.000000,,,
Residential,,0,50.000000,0.000000,50.000000,100.000000,90.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,80.000000,,,


[LOADS]
FORMAT_LOADS=SectionID,DeviceNumber,LoadType,Connection,Location
17MN20__104282532,17MN20_104282532,SPOT,0,2
14FX05__2680012,14FX05_2680012,SPOT,0,2
183Y93__104696244,183Y93_104696244,SPOT,0,2
9W753__2662742,9W753_2662742,SPOT,0,2
11E480__2667683,11E480_2667683,SPOT,0,2
14LJ03__2680806,14LJ03_2680806,SPOT,0,2
9W756__2662746,9W756_2662746,SPOT,0,2
18GC39__105325980,18GC39_105325980,SPOT,0,2
9W757__2662745,9W757_2662745,SPOT,0,2
9AM81__2659679,9AM81_2659679,SPOT,0,2
14MD12__103076939,14MD12_103076939,SPOT,0,2
17DH82__104079470,17DH82_104079470,SPOT,0,2
9W755__2662744,9W755_2662744,SPOT,0,2
9AM80__2659678,9AM80_2659678,SPOT,0,2
9AM83__2659675,9AM83_2659675,SPOT,0,2
9W754__2662743,9W754_2662743,SPOT,0,2
U518BH__2634400,U518BH_2634400,SPOT,0,2
U775BH__2633405,U775BH_2633405,SPOT,0,2
14FX08__2680009,14FX08_2680009,SPOT,0,2
186Q93__104672489,186Q93_104672489,SPOT,0,2
U538BH__2634408,U538BH_2634408,SPOT,0,2
9AM87__2659671,9AM87_2659671,SPOT,0,2
U791BH__2633429,U791BH_2633429,SPOT,0,2
7NX11__2654659,7NX11_2654659,SPOT,0,2
U871BH__2632716,U871BH_2632716,SPOT,0,2
14LH93__2680813,14LH93_2680813,SPOT,0,2
D864K__2633472,D864K_2633472,SPOT,0,2
A465K__2633448,A465K_2633448,SPOT,0,2
17MN17__104282526,17MN17_104282526,SPOT,0,2
9AM89__2659673,9AM89_2659673,SPOT,0,2
9AM88__2659672,9AM88_2659672,SPOT,0,2
12129__2634474,12129_2634474,SPOT,0,2
6TE40__2655988,6TE40_2655988,SPOT,0,2
7146K__2633414,7146K_2633414,SPOT,0,2
G2636__2634457,G2636_2634457,SPOT,0,2
183Y07__104695263,183Y07_104695263,SPOT,0,2
G2635__2634456,G2635_2634456,SPOT,0,2
2YC86__2633471,2YC86_2633471,SPOT,0,2
18PH82__104696192,18PH82_104696192,SPOT,0,2
A541BH__2634445,A541BH_2634445,SPOT,0,2
107C01__2633425,107C01_2633425,SPOT,0,2
A549BH__2634443,A549BH_2634443,SPOT,0,2
17MN21__104282534,17MN21_104282534,SPOT,0,2
7TX20__2656213,7TX20_2656213,SPOT,0,2
183Y92__104696249,183Y92_104696249,SPOT,0,2
7377K__2662685,7377K_2662685,SPOT,0,2
U540BH__2634409,U540BH_2634409,SPOT,0,2
18LL89__105931299,18LL89_105931299,SPOT,0,2
B329K__2633438,B329K_2633438,SPOT,0,2
U430BH__103577093,U430BH_103577093,SPOT,0,2
17Q659__104378555,17Q659_104378555,SPOT,0,2
17DH83__104079472,17DH83_104079472,SPOT,0,2
14L344__2680575,14L344_2680575,SPOT,0,2
7NW66__2654655,7NW66_2654655,SPOT,0,2
18LL87__105931295,18LL87_105931295,SPOT,0,2
106799__2662467,106799_2662467,SPOT,0,2
9WF48__2663238,9WF48_2663238,SPOT,0,2
D114K__2633460,D114K_2633460,SPOT,0,2
144379__2678082,144379_2678082,SPOT,0,2
8DT86__2657087,8DT86_2657087,SPOT,0,2
8DT83__2657089,8DT83_2657089,SPOT,0,2
8DT87__2657086,8DT87_2657086,SPOT,0,2
8DT88__2657085,8DT88_2657085,SPOT,0,2
8DT84__2657088,8DT84_2657088,SPOT,0,2
15TN73__103913533,15TN73_103913533,SPOT,0,2
5LT91__2634462,5LT91_2634462,SPOT,0,2
U770BH__2679670,U770BH_2679670,SPOT,0,2
8DT89__2657084,8DT89_2657084,SPOT,0,2
A456K__2633449,A456K_2633449,SPOT,0,2
132357__2673906,132357_2673906,SPOT,0,2
ABK62K__2634470,ABK62K_2634470,SPOT,0,2
17C985__104039815,17C985_104039815,SPOT,0,2
7364K__2635252,7364K_2635252,SPOT,0,2
A867K__2633484,A867K_2633484,SPOT,0,2
13PX81__2676803,13PX81_2676803,SPOT,0,2
9WF46__2663237,9WF46_2663237,SPOT,0,2
A536BH__2634442,A536BH_2634442,SPOT,0,2
U519BH__2634401,U519BH_2634401,SPOT,0,2
U754BH__2633432,U754BH_2633432,SPOT,0,2
U756BH__2633422,U756BH_2633422,SPOT,0,2
G2309__2634455,G2309_2634455,SPOT,0,2
U553BH__2634413,U553BH_2634413,SPOT,0,2
U594BH__2635208,U594BH_2635208,SPOT,0,2
U794BH__2633430,U794BH_2633430,SPOT,0,2
U595BH__2634422,U595BH_2634422,SPOT,0,2
U571BH__2634449,U571BH_2634449,SPOT,0,2
7WL55__2656224,7WL55_2656224,SPOT,0,2
D102K__2633493,D102K_2633493,SPOT,0,2
18LL88__105931297,18LL88_105931297,SPOT,0,1
U872BH__2632713,U872BH_2632713,SPOT,0,2
9AM90__2659674,9AM90_2659674,SPOT,0,2
17KH69__104218233,17KH69_104218233,SPOT,0,2
13PX78__2676799,13PX78_2676799,SPOT,0,2
17BR89__104028951,17BR89_104028951,SPOT,0,2
12134__2634437,12134_2634437,SPOT,0,2
7WL58__2656223,7WL58_2656223,SPOT,0,2
15QR59__103849342,15QR59_103849342,SPOT,0,2
G2403__2634454,G2403_2634454,SPOT,0,2
107H65__2663535,107H65_2663535,SPOT,0,2
G2402__2634453,G2402_2634453,SPOT,0,2
G2400__2634451,G2400_2634451,SPOT,0,2
G2401__2634452,G2401_2634452,SPOT,0,2
12AK65__2671223,12AK65_2671223,SPOT,0,2
132353__2673898,132353_2673898,SPOT,0,2
7356K__2635248,7356K_2635248,SPOT,0,2
13PX96__2676770,13PX96_2676770,SPOT,0,2
158E26__103192137,158E26_103192137,SPOT,0,2
7X080__2656211,7X080_2656211,SPOT,0,2
B326K__2633435,B326K_2633435,SPOT,0,2
12AK60__2671233,12AK60_2671233,SPOT,0,2
13L573__2676138,13L573_2676138,SPOT,0,2
7X081__2656210,7X081_2656210,SPOT,0,2
13PX87__2676764,13PX87_2676764,SPOT,0,2
15QR56__103849302,15QR56_103849302,SPOT,0,2
U543BH__2634410,U543BH_2634410,SPOT,0,2
13PX95__2676789,13PX95_2676789,SPOT,0,2
D862K__2634439,D862K_2634439,SPOT,0,2
15QR58__103849328,15QR58_103849328,SPOT,0,2
U612BH__2634429,U612BH_2634429,SPOT,0,2
106807__2662460,106807_2662460,SPOT,0,2
14L467__2680588,14L467_2680588,SPOT,0,2
U787BH__2633427,U787BH_2633427,SPOT,0,2
A451K__2632718,A451K_2632718,SPOT,0,2
8DT90__2657083,8DT90_2657083,SPOT,0,2
8DR30__2657054,8DR30_2657054,SPOT,0,2
15TN71__103913516,15TN71_103913516,SPOT,0,2
14L472__2680593,14L472_2680593,SPOT,0,2
18LL90__105931301,18LL90_105931301,SPOT,0,2
8DT93__2657080,8DT93_2657080,SPOT,0,2
106803__2662468,106803_2662468,SPOT,0,2
8DT94__2657081,8DT94_2657081,SPOT,0,2
17KH68__104218231,17KH68_104218231,SPOT,0,2
U395BH__2634362,U395BH_2634362,SPOT,0,2
7TX19__2656208,7TX19_2656208,SPOT,0,2
8DT95__2657082,8DT95_2657082,SPOT,0,2
D736K__2635251,D736K_2635251,SPOT,0,2
G260K__2633496,G260K_2633496,SPOT,0,2
15TN76__103913509,15TN76_103913509,SPOT,0,2
11E483__2667689,11E483_2667689,SPOT,0,2
7110K__2633510,7110K_2633510,SPOT,0,2
14FX06__2680011,14FX06_2680011,SPOT,0,2
126695__2670645,126695_2670645,SPOT,0,2
14Q056__103041352,14Q056_103041352,SPOT,0,2
14LJ00__2680803,14LJ00_2680803,SPOT,0,2
2X516__2633431,2X516_2633431,SPOT,0,2
7NX10__2654663,7NX10_2654663,SPOT,0,2
A488BH__2634431,A488BH_2634431,SPOT,0,2
14Q055__103041319,14Q055_103041319,SPOT,0,2
7138K__2633439,7138K_2633439,SPOT,0,2
12133__2633475,12133_2633475,SPOT,0,2
116262__2666735,116262_2666735,SPOT,0,2
12132__2633470,12132_2633470,SPOT,0,2
U554BH__2634414,U554BH_2634414,SPOT,0,2
9AM82__2659680,9AM82_2659680,SPOT,0,2
14LH94__2680812,14LH94_2680812,SPOT,0,2
U879BH__2632709,U879BH_2632709,SPOT,0,2
D105K__2633469,D105K_2633469,SPOT,0,2
U494BH__2634396,U494BH_2634396,SPOT,0,2
186Q94__104672491,186Q94_104672491,SPOT,0,2
14LH98__2680811,14LH98_2680811,SPOT,0,2
D099K__2633489,D099K_2633489,SPOT,0,2
ND81BH__2633398,ND81BH_2633398,SPOT,0,2
B327K__2633436,B327K_2633436,SPOT,0,2
11PR92__2669628,11PR92_2669628,SPOT,0,2
106795__2662471,106795_2662471,SPOT,0,2
A547BH__2634448,A547BH_2634448,SPOT,0,2
12JB23__2672974,12JB23_2672974,SPOT,0,2
8R717__2657969,8R717_2657969,SPOT,0,2
7TX21__2656209,7TX21_2656209,SPOT,0,2
8Q064__2659307,8Q064_2659307,SPOT,0,2
7X079__2656225,7X079_2656225,SPOT,0,2
U768BH__2633402,U768BH_2633402,SPOT,0,2
U617BH__2633420,U617BH_2633420,SPOT,0,2
U573K__2634469,U573K_2634469,SPOT,0,2
7231K__2678915,7231K_2678915,SPOT,0,2
D118K__2633456,D118K_2633456,SPOT,0,2
G250K__2634466,G250K_2634466,SPOT,0,2
6MG74__2660012,6MG74_2660012,SPOT,0,2
14L343__2680574,14L343_2680574,SPOT,0,2
106798__2662466,106798_2662466,SPOT,0,2
14NJ19__103098857,14NJ19_103098857,SPOT,0,2
A458K__2633446,A458K_2633446,SPOT,0,2
8DT85__2657090,8DT85_2657090,SPOT,0,2
9WF49__2663241,9WF49_2663241,SPOT,0,2
A450K__2633443,A450K_2633443,SPOT,0,2
132358__2673908,132358_2673908,SPOT,0,2
132354__2673900,132354_2673900,SPOT,0,2
G9Z24__103402682,G9Z24_103402682,SPOT,0,2
186Q95__104672493,186Q95_104672493,SPOT,0,2
119M15__2667235,119M15_2667235,SPOT,0,2
C817K__2633502,C817K_2633502,SPOT,0,2
CBN13__2633444,CBN13_2633444,SPOT,0,2
7362K__2635250,7362K_2635250,SPOT,0,2
NV11__2634450,NV11_2634450,SPOT,0,2
U350BH__2633397,U350BH_2633397,SPOT,0,2
132362__2673929,132362_2673929,SPOT,0,2
U362BH__2633408,U362BH_2633408,SPOT,0,2
187W44__104783613,187W44_104783613,SPOT,0,2
159X48__103337270,159X48_103337270,SPOT,0,2
U355BH__103402684,U355BH_103402684,SPOT,0,2
9WF47__2663242,9WF47_2663242,SPOT,0,2
CBN14__2633445,CBN14_2633445,SPOT,0,2
CBN16__2633482,CBN16_2633482,SPOT,0,2
13PX82__2676805,13PX82_2676805,SPOT,0,2
D106K__2633467,D106K_2633467,SPOT,0,2
133Y83__2674183,133Y83_2674183,SPOT,0,2
13PX75__2676773,13PX75_2676773,SPOT,0,2
U874BH__2632714,U874BH_2632714,SPOT,0,2
12126__2633465,12126_2633465,SPOT,0,2
183Y09__104695274,183Y09_104695274,SPOT,0,2
A448K__2633441,A448K_2633441,SPOT,0,2
12127__2633466,12127_2633466,SPOT,0,2
D100K__2633490,D100K_2633490,SPOT,0,2
9AM77__2659670,9AM77_2659670,SPOT,0,2
U495BH__2634397,U495BH_2634397,SPOT,0,2
13PX77__2676795,13PX77_2676795,SPOT,0,2
17MN19__104282530,17MN19_104282530,SPOT,0,2
12125__2633464,12125_2633464,SPOT,0,2
