"Hour", "Element", "Normal Amps", "Emerg Amps", "% Normal", "% Emerg", "kVBase"
5365, "Transformer.05410_G2102CC0600", 1.381, 1.883, 113.3821, 83.14689, 19.9 
5366, "Transformer.05410_G2100DL9800", 2.071, 2.824, 110.9976, 81.39824, 19.9 
5366, "Transformer.05410_G2100EN2200", 2.761, 3.765, 116.2546, 85.25339, 19.9 
5366, "Transformer.05410_G2100GI2700", 1.381, 1.883, 191.9413, 140.7569, 19.9 
5366, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 221.0323, 162.0903, 19.9 
5366, "Transformer.05410_G2101BC7200", 7.217, 9.841, 112.1319, 82.23005, 7.62 
5366, "Transformer.05410_G2102CC0600", 1.381, 1.883, 113.8524, 83.49174, 19.9 
5367, "Transformer.05410_G2100DL9800", 2.071, 2.824, 111.1222, 81.4896, 19.9 
5367, "Transformer.05410_G2100EN2200", 2.761, 3.765, 117.2847, 86.00879, 19.9 
5367, "Transformer.05410_G2100GI2700", 1.381, 1.883, 193.6503, 142.0102, 19.9 
5367, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 222.2379, 162.9744, 19.9 
5367, "Transformer.05410_G2101BC7200", 7.217, 9.841, 112.7404, 82.67629, 7.62 
5367, "Transformer.05410_G2102CC0600", 1.381, 1.883, 114.4713, 83.94562, 19.9 
5368, "Transformer.05410_G2100DL9800", 2.071, 2.824, 113.1165, 82.95212, 19.9 
5368, "Transformer.05410_G2100EN2200", 2.761, 3.765, 117.7291, 86.33469, 19.9 
5368, "Transformer.05410_G2100GI2700", 1.381, 1.883, 194.3914, 142.5537, 19.9 
5368, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 221.3787, 162.3444, 19.9 
5368, "Transformer.05410_G2101BC7200", 7.217, 9.841, 112.3026, 82.35525, 7.62 
5368, "Transformer.05410_G2102CC0600", 1.381, 1.883, 114.0277, 83.6203, 19.9 
5369, "Transformer.05410_G2100DL9800", 2.071, 2.824, 108.1475, 79.30817, 19.9 
5369, "Transformer.05410_G2100EN2200", 2.761, 3.765, 111.3341, 81.64504, 19.9 
5369, "Transformer.05410_G2100GI2700", 1.381, 1.883, 183.7842, 134.7751, 19.9 
5369, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 211.5412, 155.1302, 19.9 
5369, "Transformer.05410_G2101BC7200", 7.217, 9.841, 107.3435, 78.71853, 7.62 
5369, "Transformer.05410_G2102CC0600", 1.381, 1.883, 108.9812, 79.91951, 19.9 
5370, "Transformer.05410_G2100EN2200", 2.761, 3.765, 103.0215, 75.54914, 19.9 
5370, "Transformer.05410_G2100GI2700", 1.381, 1.883, 169.9992, 124.6661, 19.9 
5370, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 193.6723, 142.0264, 19.9 
5371, "Transformer.05410_G2100GI2700", 1.381, 1.883, 155.5775, 114.0902, 19.9 
5371, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 177.9006, 130.4604, 19.9 
5372, "Transformer.05410_G2100GI2700", 1.381, 1.883, 148.7933, 109.1151, 19.9 
5372, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 171.6061, 125.8445, 19.9 
5373, "Transformer.05410_G2100GI2700", 1.381, 1.883, 138.8856, 101.8494, 19.9 
5373, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 162.2073, 118.952, 19.9 
5374, "Transformer.05410_G2100GI2700", 1.381, 1.883, 122.5457, 89.86682, 19.9 
5374, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 146.7982, 107.652, 19.9 
5375, "Transformer.05410_G2100GI2700", 1.381, 1.883, 106.2106, 77.88777, 19.9 
5375, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 126.2828, 92.60742, 19.9 
5376, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 113.1961, 83.01044, 19.9 
5377, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 103.9915, 76.2604, 19.9 
5382, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 107.3314, 78.70966, 19.9 
5383, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 115.3971, 84.62455, 19.9 
5384, "Transformer.05410_G2100GI2700", 1.381, 1.883, 106.0783, 77.79078, 19.9 
5384, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 123.9736, 90.91399, 19.9 
5385, "Transformer.05410_G2100GI2700", 1.381, 1.883, 114.0583, 83.64277, 19.9 
5385, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 132.4809, 97.15263, 19.9 
5386, "Transformer.05410_G2100GI2700", 1.381, 1.883, 125.4201, 91.97476, 19.9 
5386, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 144.0103, 105.6075, 19.9 
5387, "Transformer.05410_G2100GI2700", 1.381, 1.883, 138.0133, 101.2098, 19.9 
5387, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 160.0736, 117.3873, 19.9 
5388, "Transformer.05410_G2100GI2700", 1.381, 1.883, 149.2907, 109.4799, 19.9 
5388, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 171.9284, 126.0809, 19.9 
5389, "Transformer.05410_G2100GI2700", 1.381, 1.883, 151.6211, 111.1888, 19.9 
5389, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 173.0061, 126.8712, 19.9 
5390, "Transformer.05410_G2100GI2700", 1.381, 1.883, 150.5418, 110.3973, 19.9 
5390, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 171.6945, 125.9093, 19.9 
5391, "Transformer.05410_G2100GI2700", 1.381, 1.883, 152.0723, 111.5197, 19.9 
5391, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 173.534, 127.2583, 19.9 
5392, "Transformer.05410_G2100GI2700", 1.381, 1.883, 150.7141, 110.5237, 19.9 
5392, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 169.3279, 124.1738, 19.9 
5393, "Transformer.05410_G2100GI2700", 1.381, 1.883, 144.4143, 105.9038, 19.9 
5393, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 165.5274, 121.3867, 19.9 
5394, "Transformer.05410_G2100GI2700", 1.381, 1.883, 141.4878, 103.7577, 19.9 
5394, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 162.7224, 119.3298, 19.9 
5395, "Transformer.05410_G2100GI2700", 1.381, 1.883, 135.806, 99.59107, 19.9 
5395, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 156.6918, 114.9073, 19.9 
5396, "Transformer.05410_G2100GI2700", 1.381, 1.883, 131.3376, 96.31422, 19.9 
5396, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 153.0901, 112.2661, 19.9 
5397, "Transformer.05410_G2100GI2700", 1.381, 1.883, 123.7934, 90.7818, 19.9 
5397, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 143.275, 105.0683, 19.9 
5398, "Transformer.05410_G2100GI2700", 1.381, 1.883, 111.8861, 82.04981, 19.9 
5398, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 128.2865, 94.07674, 19.9 
5399, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 117.0766, 85.85617, 19.9 
5400, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 104.5084, 76.63948, 19.9 
5408, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 106.2514, 77.91772, 19.9 
5409, "Transformer.05410_G2100GI2700", 1.381, 1.883, 104.072, 76.31943, 19.9 
5409, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 121.9622, 89.43894, 19.9 
5410, "Transformer.05410_G2100GI2700", 1.381, 1.883, 117.6161, 86.25178, 19.9 
5410, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 137.4994, 100.8329, 19.9 
5411, "Transformer.05410_G2100GI2700", 1.381, 1.883, 128.4954, 94.22999, 19.9 
5411, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 148.7896, 109.1124, 19.9 
5412, "Transformer.05410_G2100GI2700", 1.381, 1.883, 138.6524, 101.6784, 19.9 
5412, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 157.3015, 115.3545, 19.9 
5413, "Transformer.05410_G2100GI2700", 1.381, 1.883, 146.2952, 107.2832, 19.9 
5413, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 167.2909, 122.68, 19.9 
5414, "Transformer.05410_G2100GI2700", 1.381, 1.883, 153.4968, 112.5643, 19.9 
5414, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 175.6056, 128.7774, 19.9 
5415, "Transformer.05410_G2100GI2700", 1.381, 1.883, 158.7271, 116.3999, 19.9 
5415, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 181.7391, 133.2754, 19.9 
5416, "Transformer.05410_G2100GI2700", 1.381, 1.883, 161.7717, 118.6325, 19.9 
5416, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 183.8515, 134.8245, 19.9 
5417, "Transformer.05410_G2100GI2700", 1.381, 1.883, 156.9574, 115.1021, 19.9 
5417, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 178.3655, 130.8014, 19.9 
5418, "Transformer.05410_G2100GI2700", 1.381, 1.883, 150.1067, 110.0783, 19.9 
5418, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 171.7793, 125.9715, 19.9 
5419, "Transformer.05410_G2100GI2700", 1.381, 1.883, 146.6404, 107.5363, 19.9 
5419, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 169.2136, 124.09, 19.9 
5420, "Transformer.05410_G2100GI2700", 1.381, 1.883, 143.3751, 105.1418, 19.9 
5420, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 165.794, 121.5822, 19.9 
5421, "Transformer.05410_G2100GI2700", 1.381, 1.883, 132.1713, 96.92562, 19.9 
5421, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 153.7551, 112.7538, 19.9 
5422, "Transformer.05410_G2100GI2700", 1.381, 1.883, 119.1246, 87.35805, 19.9 
5422, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 138.3412, 101.4502, 19.9 
5423, "Transformer.05410_G2100GI2700", 1.381, 1.883, 103.8287, 76.14105, 19.9 
5423, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 120.2838, 88.20814, 19.9 
5424, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 108.5984, 79.63884, 19.9 
5432, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 102.5639, 75.21354, 19.9 
5433, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 111.223, 81.5635, 19.9 
5434, "Transformer.05410_G2100GI2700", 1.381, 1.883, 103.9942, 76.26242, 19.9 
5434, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 121.7243, 89.26446, 19.9 
5435, "Transformer.05410_G2100GI2700", 1.381, 1.883, 113.2103, 83.02089, 19.9 
5435, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 130.2945, 95.54931, 19.9 
5436, "Transformer.05410_G2100GI2700", 1.381, 1.883, 123.2671, 90.39589, 19.9 
5436, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 142.8381, 104.7479, 19.9 
5437, "Transformer.05410_G2100GI2700", 1.381, 1.883, 127.8531, 93.75891, 19.9 
5437, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 148.1794, 108.6649, 19.9 
5438, "Transformer.05410_G2100GI2700", 1.381, 1.883, 130.0987, 95.40573, 19.9 
5438, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 148.2784, 108.7375, 19.9 
5439, "Transformer.05410_G2100GI2700", 1.381, 1.883, 128.7586, 94.42294, 19.9 
5439, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 147.7819, 108.3734, 19.9 
5440, "Transformer.05410_G2100GI2700", 1.381, 1.883, 131.0694, 96.11758, 19.9 
5440, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 150.0677, 110.0496, 19.9 
5441, "Transformer.05410_G2100GI2700", 1.381, 1.883, 134.6216, 98.72251, 19.9 
5441, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 155.7795, 114.2383, 19.9 
5442, "Transformer.05410_G2100GI2700", 1.381, 1.883, 136.6405, 100.203, 19.9 
5442, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 157.452, 115.4648, 19.9 
5443, "Transformer.05410_G2100GI2700", 1.381, 1.883, 134.353, 98.5255, 19.9 
5443, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 156.5459, 114.8004, 19.9 
5444, "Transformer.05410_G2100GI2700", 1.381, 1.883, 133.3569, 97.79504, 19.9 
5444, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 155.2365, 113.8401, 19.9 
5445, "Transformer.05410_G2100GI2700", 1.381, 1.883, 126.629, 92.86128, 19.9 
5445, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 148.7503, 109.0836, 19.9 
5446, "Transformer.05410_G2100GI2700", 1.381, 1.883, 114.6743, 84.09452, 19.9 
5446, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 133.1607, 97.6512, 19.9 
5447, "Transformer.05410_G2100GI2700", 1.381, 1.883, 100.5103, 73.70754, 19.9 
5447, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 118.2799, 86.73856, 19.9 
5448, "Transformer.05410_G2100NJ7400", 1.381, 1.8
