"Hour", "Element", "Normal Amps", "Emerg Amps", "% Normal", "% Emerg", "kVBase"
5297, "Transformer.05410_G2100EN2200", 2.761, 3.765, 116.4535, 85.39924, 19.9 
5297, "Transformer.05410_G2100GI2700", 1.381, 1.883, 192.2584, 140.9895, 19.9 
5297, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 220.5823, 161.7604, 19.9 
5297, "Transformer.05410_G2101BC7200", 7.217, 9.841, 111.9142, 82.07044, 7.62 
5297, "Transformer.05410_G2102CC0600", 1.381, 1.883, 113.6266, 83.32615, 19.9 
5298, "Transformer.05410_G2100DL9800", 2.071, 2.824, 109.704, 80.44956, 19.9 
5298, "Transformer.05410_G2100EN2200", 2.761, 3.765, 113.7915, 83.44708, 19.9 
5298, "Transformer.05410_G2100GI2700", 1.381, 1.883, 187.8415, 137.7505, 19.9 
5298, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 215.2507, 157.8505, 19.9 
5298, "Transformer.05410_G2101BC7200", 7.217, 9.841, 109.2265, 80.09946, 7.62 
5298, "Transformer.05410_G2102CC0600", 1.381, 1.883, 110.8916, 81.32048, 19.9 
5299, "Transformer.05410_G2100DL9800", 2.071, 2.824, 105.6858, 77.50293, 19.9 
5299, "Transformer.05410_G2100EN2200", 2.761, 3.765, 108.9999, 79.93328, 19.9 
5299, "Transformer.05410_G2100GI2700", 1.381, 1.883, 179.8941, 131.9224, 19.9 
5299, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 206.5927, 151.5013, 19.9 
5299, "Transformer.05410_G2101BC7200", 7.217, 9.841, 104.8601, 76.89744, 7.62 
5299, "Transformer.05410_G2102CC0600", 1.381, 1.883, 106.4491, 78.06271, 19.9 
5300, "Transformer.05410_G2100DL9800", 2.071, 2.824, 100.485, 73.68903, 19.9 
5300, "Transformer.05410_G2100EN2200", 2.761, 3.765, 103.3931, 75.8216, 19.9 
5300, "Transformer.05410_G2100GI2700", 1.381, 1.883, 170.5984, 125.1055, 19.9 
5300, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 198.7373, 145.7407, 19.9 
5300, "Transformer.05410_G2101BC7200", 7.217, 9.841, 100.8973, 73.99135, 7.62 
5300, "Transformer.05410_G2102CC0600", 1.381, 1.883, 102.4179, 75.10646, 19.9 
5301, "Transformer.05410_G2100GI2700", 1.381, 1.883, 156.9022, 115.0616, 19.9 
5301, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 185.8096, 136.2603, 19.9 
5302, "Transformer.05410_G2100GI2700", 1.381, 1.883, 139.8166, 102.5322, 19.9 
5302, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 163.5473, 119.9347, 19.9 
5303, "Transformer.05410_G2100GI2700", 1.381, 1.883, 121.0703, 88.78489, 19.9 
5303, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 142.0776, 104.1903, 19.9 
5304, "Transformer.05410_G2100GI2700", 1.381, 1.883, 106.3218, 77.96935, 19.9 
5304, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 124.3039, 91.15616, 19.9 
5305, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 114.9086, 84.2663, 19.9 
5306, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 107.2795, 78.6716, 19.9 
5307, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 102.3044, 75.02321, 19.9 
5308, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 100.0106, 73.34108, 19.9 
5309, "Transformer.05410_G2100NJ7400", 1.381, 1.883, 106.219, 77.89392, 19.9 
5310, "Transformer.05410_G2100GI2700", 1.381, 1.883, 101.7247, 74.59812, 19.9 
