[GENERAL]
DATE=March 18, 2015 at 10:28:30
CYME_VERSION=5.04
CYMDIST_REVISION=02

[SI]

[CONCENTRIC NEUTRAL CABLE]
FORMAT_CONCENTRICNEUTRALCABLE=ID,R1,R0,X1,X0,B1,B0,Amps,Amps_1,Amps_2,Amps_3,Amps_4,WithstandRating,NumberOfPhases,FailRate,TmpFailRate,MajorRepairTime,MinorRepairTime,MajorFailureProportion,PhaseCondID,NeutralCondID,NeutralWires,InsulationType,InsulationDielectricConst,InsulationDiameter,Dab,Dbc,Dac,RatedLevel,ContinuousTemperatureRating,SCCurrentTemperatureRating,PositiveSequenceShuntConductance,ZeroSequenceShuntConductance,LockImpedance,Comments
PEC_350_CU_TRXLPE_D_B,0.091738,0.240426,0.094286,0.065058,2.343290,0.000000,470.000000,470.000000,470.000000,470.000000,470.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC_350_CU_TRXLPE_I_C,0.091738,0.240426,0.094286,0.065058,2.343290,0.000000,470.000000,470.000000,470.000000,470.000000,470.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC_4/0_AL_TRXLPE_D_B,0.221314,0.362009,0.114440,0.083436,1.185410,0.000000,198.000000,198.000000,198.000000,198.000000,198.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC_4/0_AL_TRXLPE_I_C,0.221314,0.362009,0.114440,0.083436,1.185410,0.000000,198.000000,198.000000,198.000000,198.000000,198.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC_4/0_CU_TRXLPE_D_B,0.174480,0.165792,0.468689,0.140618,55.341702,0.000000,304.000000,304.000000,304.000000,304.000000,304.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC_4/0_CU_TRXLPE_I_C,0.174480,0.165792,0.468689,0.140618,55.341702,0.000000,304.000000,304.000000,304.000000,304.000000,304.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC_500_AL_TRXLPE_D_B,0.101043,0.282240,0.092047,0.069267,2.701670,0.000000,441.000000,441.000000,441.000000,441.000000,441.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC_500_AL_TRXLPE_I_C,0.101043,0.282240,0.092047,0.069267,2.701670,0.000000,441.000000,441.000000,441.000000,441.000000,441.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC_500_CU_TRXLPE_D_B,0.062046,0.166333,0.078108,0.049884,5.458400,0.000000,517.000000,517.000000,517.000000,517.000000,517.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
PEC_500_CU_TRXLPE_I_C,0.062046,0.166333,0.078108,0.049884,5.458400,0.000000,517.000000,517.000000,517.000000,517.000000,517.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,7.200000,75.000000,200.000000,0.000000,0.000000,0,
